PipelineID;Pipeline;train_set;fit_time_cv1;fit_time_cv2;fit_time_cv3;fit_time_cv4;fit_time_cv5;fit_time_mean;score_time_cv1;score_time_cv2;score_time_cv3;score_time_cv4;score_time_cv5;score_time_mean;test_accuracy_cv1;test_accuracy_cv2;test_accuracy_cv3;test_accuracy_cv4;test_accuracy_cv5;test_accuracy_mean;train_accuracy_cv1;train_accuracy_cv2;train_accuracy_cv3;train_accuracy_cv4;train_accuracy_cv5;train_accuracy_mean;test_precision_cv1;test_precision_cv2;test_precision_cv3;test_precision_cv4;test_precision_cv5;test_precision_mean;train_precision_cv1;train_precision_cv2;train_precision_cv3;train_precision_cv4;train_precision_cv5;train_precision_mean;test_recall_cv1;test_recall_cv2;test_recall_cv3;test_recall_cv4;test_recall_cv5;test_recall_mean;train_recall_cv1;train_recall_cv2;train_recall_cv3;train_recall_cv4;train_recall_cv5;train_recall_mean;test_f1-score_cv1;test_f1-score_cv2;test_f1-score_cv3;test_f1-score_cv4;test_f1-score_cv5;test_f1-score_mean;train_f1-score_cv1;train_f1-score_cv2;train_f1-score_cv3;train_f1-score_cv4;train_f1-score_cv5;train_f1-score_mean;test_tp_cv1;test_tp_cv2;test_tp_cv3;test_tp_cv4;test_tp_cv5;test_tp_mean;train_tp_cv1;train_tp_cv2;train_tp_cv3;train_tp_cv4;train_tp_cv5;train_tp_mean;test_tn_cv1;test_tn_cv2;test_tn_cv3;test_tn_cv4;test_tn_cv5;test_tn_mean;train_tn_cv1;train_tn_cv2;train_tn_cv3;train_tn_cv4;train_tn_cv5;train_tn_mean;test_fp_cv1;test_fp_cv2;test_fp_cv3;test_fp_cv4;test_fp_cv5;test_fp_mean;train_fp_cv1;train_fp_cv2;train_fp_cv3;train_fp_cv4;train_fp_cv5;train_fp_mean;test_fn_cv1;test_fn_cv2;test_fn_cv3;test_fn_cv4;test_fn_cv5;test_fn_mean;train_fn_cv1;train_fn_cv2;train_fn_cv3;train_fn_cv4;train_fn_cv5;train_fn_mean
Natural Language Processing;LR_Count_Vectors_RandomUnder;data/train_test_data/readme_negative_samples_preprocessed_train.csv;1.9195775985717773;1.8755335807800293;1.9887259006500244;1.7620580196380615;1.9694037437438965;1.9030597686767579;0.13491082191467285;0.17356204986572266;0.2695910930633545;0.1901545524597168;0.3396000862121582;0.221563720703125;0.9150326797385621;0.8954248366013072;0.9276315789473685;0.9078947368421053;0.9276315789473685;0.9147230822153423;1.0;1.0;1.0;1.0;1.0;1.0;0.8809523809523809;0.9166666666666666;0.922077922077922;0.918918918918919;0.9577464788732394;0.9192724734978256;1.0;1.0;1.0;1.0;1.0;1.0;0.961038961038961;0.868421052631579;0.9342105263157895;0.8947368421052632;0.8947368421052632;0.9106288448393711;1.0;1.0;1.0;1.0;1.0;1.0;0.9192546583850931;0.8918918918918918;0.9281045751633986;0.9066666666666667;0.9251700680272109;0.9142175720268522;1.0;1.0;1.0;1.0;1.0;1.0;66;71;70;70;73;70.0;305;304;305;305;305;304.8;74;66;71;68;68;69.4;304;305;305;305;305;304.8;3;10;5;8;8;6.8;0;0;0;0;0;0.0;10;6;6;6;3;6.2;0;0;0;0;0;0.0
Natural Language Processing;LR_TFIDF_RandomUnder;data/train_test_data/readme_negative_samples_preprocessed_train.csv;0.9521579742431641;0.9894943237304688;1.0575544834136963;0.992621898651123;0.8633389472961426;0.9710335254669189;0.13884234428405762;0.28511571884155273;0.19090771675109863;0.16799521446228027;0.323636531829834;0.22129950523376465;0.934640522875817;0.9411764705882353;0.9539473684210527;0.9276315789473685;0.9539473684210527;0.9422686618507052;0.986863711001642;0.993431855500821;0.9901639344262295;0.9901639344262295;0.9901639344262295;0.9901574739562303;0.935064935064935;0.9240506329113924;0.948051948051948;0.922077922077922;0.96;0.9378490876212394;0.9774193548387097;0.9870550161812298;0.9838187702265372;0.9838187702265372;0.9869706840390879;0.9838165191024203;0.935064935064935;0.9605263157894737;0.9605263157894737;0.9342105263157895;0.9473684210526315;0.9475393028024607;0.9967105263157895;1.0;0.9967213114754099;0.9967213114754099;0.9934426229508196;0.9967191544434858;0.935064935064935;0.9419354838709677;0.9542483660130718;0.9281045751633986;0.9536423841059603;0.9425991488436667;0.9869706840390879;0.993485342019544;0.9902280130293161;0.9902280130293161;0.9901960784313726;0.9902216261097273;71;71;72;70;73;71.4;298;300;300;300;301;299.8;72;73;73;71;72;72.2;303;305;304;304;303;303.8;5;3;3;5;4;4.0;1;0;1;1;2;1.0;5;6;4;6;3;4.8;7;4;5;5;4;5.0
Natural Language Processing;SVC_Count_Vectors_RandomUnder;data/train_test_data/readme_negative_samples_preprocessed_train.csv;5.106843709945679;4.636093378067017;4.733048439025879;6.362780809402466;6.10784912109375;5.389323091506958;0.3193371295928955;0.3556537628173828;0.353346586227417;0.30907607078552246;0.47392892837524414;0.36226849555969237;0.6078431372549019;0.6666666666666666;0.6513157894736842;0.631578947368421;0.6776315789473685;0.6470072239422084;0.6748768472906403;0.6633825944170771;0.6639344262295082;0.6655737704918033;0.6672131147540984;0.6669961506366254;0.5639097744360902;0.5984251968503937;0.5905511811023622;0.5757575757575758;0.6097560975609756;0.5876799651414795;0.6055776892430279;0.5980392156862745;0.5980392156862745;0.5992141453831041;0.6003937007874016;0.6002527933572166;0.974025974025974;1.0;0.9868421052631579;1.0;0.9868421052631579;0.989542036910458;1.0;1.0;1.0;1.0;1.0;1.0;0.7142857142857143;0.748768472906404;0.7389162561576355;0.7307692307692308;0.7537688442211055;0.737301703668018;0.7543424317617866;0.7484662576687116;0.7484662576687116;0.7493857493857494;0.7503075030750308;0.7501936399119981;18;26;24;20;28;23.2;107;99;100;101;102;101.8;75;76;75;76;75;75.4;304;305;305;305;305;304.8;2;0;1;0;1;0.8;0;0;0;0;0;0.0;58;51;52;56;48;53.0;198;205;205;204;203;203.0
Natural Language Processing;SVC_TFIDF_RandomUnder;data/train_test_data/readme_negative_samples_preprocessed_train.csv;6.6409289836883545;6.6001691818237305;4.690430164337158;4.716047048568726;4.794967412948608;5.488508558273315;0.23244118690490723;0.26111793518066406;0.3266596794128418;0.33402299880981445;0.39724016189575195;0.3102963924407959;0.9477124183006536;0.934640522875817;0.9539473684210527;0.9342105263157895;0.9605263157894737;0.9462074303405572;1.0;1.0;1.0;1.0;1.0;1.0;0.96;0.9230769230769231;0.96;0.9342105263157895;0.9605263157894737;0.9475627530364372;1.0;1.0;1.0;1.0;1.0;1.0;0.935064935064935;0.9473684210526315;0.9473684210526315;0.9342105263157895;0.9605263157894737;0.9449077238550923;1.0;1.0;1.0;1.0;1.0;1.0;0.9473684210526316;0.935064935064935;0.9536423841059603;0.9342105263157895;0.9605263157894737;0.946162516465758;1.0;1.0;1.0;1.0;1.0;1.0;73;71;73;71;73;72.2;305;304;305;305;305;304.8;72;72;72;71;73;72.0;304;305;305;305;305;304.8;5;4;4;5;3;4.2;0;0;0;0;0;0.0;3;6;3;5;3;4.0;0;0;0;0;0;0.0
Natural Language Processing;KNN_Count_Vectors_RandomUnder;data/train_test_data/readme_negative_samples_preprocessed_train.csv;1.093775749206543;0.5465450286865234;0.6263303756713867;0.5528740882873535;0.9813590049743652;0.7601768493652343;0.2759408950805664;0.21610522270202637;0.2616920471191406;0.23563051223754883;0.3664391040802002;0.2711615562438965;0.8300653594771242;0.7450980392156863;0.9013157894736842;0.8421052631578947;0.8486842105263158;0.833453732370141;1.0;1.0;1.0;1.0;1.0;1.0;0.7684210526315789;0.6666666666666666;0.8961038961038961;0.9193548387096774;0.9206349206349206;0.834236274949348;1.0;1.0;1.0;1.0;1.0;1.0;0.948051948051948;0.9736842105263158;0.9078947368421053;0.75;0.7631578947368421;0.8685577580314423;1.0;1.0;1.0;1.0;1.0;1.0;0.8488372093023255;0.7914438502673797;0.9019607843137255;0.826086956521739;0.8345323741007195;0.8405722349011778;1.0;1.0;1.0;1.0;1.0;1.0;54;40;68;71;71;60.8;305;304;305;305;305;304.8;73;74;69;57;58;66.2;304;305;305;305;305;304.8;4;2;7;19;18;10.0;0;0;0;0;0;0.0;22;37;8;5;5;15.4;0;0;0;0;0;0.0
Natural Language Processing;KNN_TFIDF_RandomUnder;data/train_test_data/readme_negative_samples_preprocessed_train.csv;0.6674895286560059;0.6536276340484619;1.1152253150939941;0.5703024864196777;1.066931962966919;0.8147153854370117;0.1584315299987793;0.20239901542663574;0.34555888175964355;0.17180442810058594;0.42907285690307617;0.26145334243774415;0.9281045751633987;0.8954248366013072;0.9078947368421053;0.9078947368421053;0.9276315789473685;0.9133900928792571;0.9589490968801314;0.9408866995073891;0.940983606557377;0.9508196721311475;0.9508196721311475;0.9484917494414384;0.8928571428571429;0.8658536585365854;0.8780487804878049;0.8974358974358975;0.9113924050632911;0.8891175768761442;0.9400630914826499;0.9138461538461539;0.9138461538461539;0.9337539432176656;0.9256965944272446;0.9254411873639736;0.974025974025974;0.9342105263157895;0.9473684210526315;0.9210526315789473;0.9473684210526315;0.9448051948051948;0.9802631578947368;0.9737704918032787;0.9737704918032787;0.9704918032786886;0.980327868852459;0.9757247627264883;0.9316770186335404;0.8987341772151899;0.9113924050632912;0.9090909090909091;0.9290322580645162;0.9159853536134893;0.9597423510466989;0.9428571428571428;0.9428571428571428;0.9517684887459807;0.9522292993630573;0.9498908849740045;67;66;66;68;69;67.2;286;276;277;284;281;280.8;75;71;72;70;72;72.0;298;297;297;296;299;297.4;2;5;4;6;4;4.2;6;8;8;9;6;7.4;9;11;10;8;7;9.0;19;28;28;21;24;24.0
Natural Language Processing;RandomForestClassifier_Count_Vectors_RandomUnder;data/train_test_data/readme_negative_samples_preprocessed_train.csv;1.804811716079712;1.2434115409851074;1.2231004238128662;1.1713323593139648;1.6749544143676758;1.4235220909118653;0.25850749015808105;0.20826339721679688;0.2076411247253418;0.20981597900390625;0.3970978260040283;0.25626516342163086;0.8954248366013072;0.9281045751633987;0.9407894736842105;0.9013157894736842;0.9342105263157895;0.9199690402476781;1.0;1.0;1.0;1.0;1.0;1.0;0.8426966292134831;0.891566265060241;0.9135802469135802;0.8860759493670886;0.9125;0.8892838181108786;1.0;1.0;1.0;1.0;1.0;1.0;0.974025974025974;0.9736842105263158;0.9736842105263158;0.9210526315789473;0.9605263157894737;0.9605946684894053;1.0;1.0;1.0;1.0;1.0;1.0;0.9036144578313253;0.930817610062893;0.9426751592356688;0.9032258064516129;0.935897435897436;0.9232460938957873;1.0;1.0;1.0;1.0;1.0;1.0;62;68;69;67;69;67.0;305;304;305;305;305;304.8;75;74;74;70;73;73.2;304;305;305;305;305;304.8;2;2;2;6;3;3.0;0;0;0;0;0;0.0;14;9;7;9;7;9.2;0;0;0;0;0;0.0
Natural Language Processing;RandomForestClassifier_TFIDF_RandomUnder;data/train_test_data/readme_negative_samples_preprocessed_train.csv;1.2493054866790771;1.1302568912506104;1.8442962169647217;1.1715903282165527;1.7433369159698486;1.427757167816162;0.1714329719543457;0.2093667984008789;0.3391847610473633;0.2149348258972168;0.4133121967315674;0.26964631080627444;0.8888888888888888;0.8888888888888888;0.9276315789473685;0.9013157894736842;0.9276315789473685;0.9068713450292398;1.0;1.0;1.0;1.0;1.0;1.0;0.8260869565217391;0.8641975308641975;0.9113924050632911;0.8765432098765432;0.922077922077922;0.8800596048807385;1.0;1.0;1.0;1.0;1.0;1.0;0.987012987012987;0.9210526315789473;0.9473684210526315;0.9342105263157895;0.9342105263157895;0.9447710184552289;1.0;1.0;1.0;1.0;1.0;1.0;0.8994082840236687;0.89171974522293;0.9290322580645162;0.9044585987261147;0.9281045751633986;0.9105446922401257;1.0;1.0;1.0;1.0;1.0;1.0;60;66;69;66;70;66.2;305;304;305;305;305;304.8;76;70;72;71;71;72.0;304;305;305;305;305;304.8;1;6;4;5;5;4.2;0;0;0;0;0;0.0;16;11;7;10;6;10.0;0;0;0;0;0;0.0
Natural Language Processing;Linear_SVC_Count_Vectors_RandomUnder;data/train_test_data/readme_negative_samples_preprocessed_train.csv;4.1340250968933105;5.275541543960571;5.049490690231323;3.924417734146118;3.802454710006714;4.437185955047608;1.2011897563934326;0.7869319915771484;0.9524426460266113;1.3801257610321045;0.9731576442718506;1.0587695598602296;0.9084967320261438;0.869281045751634;0.9407894736842105;0.9013157894736842;0.9013157894736842;0.9042397660818713;1.0;1.0;1.0;1.0;1.0;1.0;0.8620689655172413;0.868421052631579;0.935064935064935;0.9295774647887324;0.9420289855072463;0.9074322807019468;1.0;1.0;1.0;1.0;1.0;1.0;0.974025974025974;0.868421052631579;0.9473684210526315;0.868421052631579;0.8552631578947368;0.9026999316473001;1.0;1.0;1.0;1.0;1.0;1.0;0.9146341463414633;0.868421052631579;0.9411764705882352;0.8979591836734694;0.8965517241379309;0.9037485154745356;1.0;1.0;1.0;1.0;1.0;1.0;64;67;71;71;72;69.0;305;304;305;305;305;304.8;75;66;72;66;65;68.8;304;305;305;305;305;304.8;2;10;4;10;11;7.4;0;0;0;0;0;0.0;12;10;5;5;4;7.2;0;0;0;0;0;0.0
Natural Language Processing;Linear_SVC_TFIDF_RandomUnder;data/train_test_data/readme_negative_samples_preprocessed_train.csv;5.932429313659668;3.7881855964660645;4.1804070472717285;4.147494316101074;5.52233099937439;4.714169454574585;1.2056193351745605;0.9016990661621094;0.984734296798706;0.9195747375488281;1.5372262001037598;1.1097707271575927;0.954248366013072;0.934640522875817;0.9605263157894737;0.9342105263157895;0.9539473684210527;0.9475146198830409;1.0;1.0;1.0;1.0;1.0;1.0;0.9605263157894737;0.9024390243902439;0.9605263157894737;0.9342105263157895;0.96;0.9435404364569961;1.0;1.0;1.0;1.0;1.0;1.0;0.948051948051948;0.9736842105263158;0.9605263157894737;0.9342105263157895;0.9473684210526315;0.9527682843472318;1.0;1.0;1.0;1.0;1.0;1.0;0.9542483660130718;0.9367088607594938;0.9605263157894737;0.9342105263157895;0.9536423841059603;0.9478672905967578;1.0;1.0;1.0;1.0;1.0;1.0;73;69;73;71;73;71.8;305;304;305;305;305;304.8;73;74;73;71;72;72.6;304;305;305;305;305;304.8;4;2;3;5;4;3.6;0;0;0;0;0;0.0;3;8;3;5;3;4.4;0;0;0;0;0;0.0
PipelineID;Pipeline;train_set;fit_time_cv1;fit_time_cv2;fit_time_cv3;fit_time_cv4;fit_time_cv5;fit_time_mean;score_time_cv1;score_time_cv2;score_time_cv3;score_time_cv4;score_time_cv5;score_time_mean;test_accuracy_cv1;test_accuracy_cv2;test_accuracy_cv3;test_accuracy_cv4;test_accuracy_cv5;test_accuracy_mean;train_accuracy_cv1;train_accuracy_cv2;train_accuracy_cv3;train_accuracy_cv4;train_accuracy_cv5;train_accuracy_mean;test_precision_cv1;test_precision_cv2;test_precision_cv3;test_precision_cv4;test_precision_cv5;test_precision_mean;train_precision_cv1;train_precision_cv2;train_precision_cv3;train_precision_cv4;train_precision_cv5;train_precision_mean;test_recall_cv1;test_recall_cv2;test_recall_cv3;test_recall_cv4;test_recall_cv5;test_recall_mean;train_recall_cv1;train_recall_cv2;train_recall_cv3;train_recall_cv4;train_recall_cv5;train_recall_mean;test_f1-score_cv1;test_f1-score_cv2;test_f1-score_cv3;test_f1-score_cv4;test_f1-score_cv5;test_f1-score_mean;train_f1-score_cv1;train_f1-score_cv2;train_f1-score_cv3;train_f1-score_cv4;train_f1-score_cv5;train_f1-score_mean;test_tp_cv1;test_tp_cv2;test_tp_cv3;test_tp_cv4;test_tp_cv5;test_tp_mean;train_tp_cv1;train_tp_cv2;train_tp_cv3;train_tp_cv4;train_tp_cv5;train_tp_mean;test_tn_cv1;test_tn_cv2;test_tn_cv3;test_tn_cv4;test_tn_cv5;test_tn_mean;train_tn_cv1;train_tn_cv2;train_tn_cv3;train_tn_cv4;train_tn_cv5;train_tn_mean;test_fp_cv1;test_fp_cv2;test_fp_cv3;test_fp_cv4;test_fp_cv5;test_fp_mean;train_fp_cv1;train_fp_cv2;train_fp_cv3;train_fp_cv4;train_fp_cv5;train_fp_mean;test_fn_cv1;test_fn_cv2;test_fn_cv3;test_fn_cv4;test_fn_cv5;test_fn_mean;train_fn_cv1;train_fn_cv2;train_fn_cv3;train_fn_cv4;train_fn_cv5;train_fn_mean
Computer Vision;LR_Count_Vectors_RandomUnder;data/train_test_data/readme_negative_samples_preprocessed_train.csv;10.18213939666748;9.42344856262207;11.369601726531982;9.146999835968018;8.269350528717041;9.678308010101318;1.692802906036377;1.046647548675537;1.730109691619873;1.1435108184814453;1.438631296157837;1.4103404521942138;0.8929577464788733;0.8943661971830986;0.9014084507042254;0.8943661971830986;0.9014084507042254;0.8969014084507043;0.9996478873239436;1.0;0.9996478873239436;0.9996478873239436;0.9996478873239436;0.9997183098591549;0.8951841359773371;0.8888888888888888;0.8991596638655462;0.8804347826086957;0.888283378746594;0.8903901700174124;0.9992962702322308;1.0;0.9992962702322308;0.9992962702322308;0.9992962702322308;0.9994370161857846;0.8901408450704226;0.9014084507042254;0.9042253521126761;0.9126760563380282;0.9183098591549296;0.9053521126760563;1.0;1.0;1.0;1.0;1.0;1.0;0.8926553672316385;0.8951048951048951;0.901685393258427;0.8962655601659751;0.9030470914127424;0.8977516614347356;0.9996480112636396;1.0;0.9996480112636396;0.9996480112636396;0.9996480112636396;0.9997184090109116;318;315;319;311;314;315.4;1419;1420;1419;1419;1419;1419.2;316;320;321;324;326;321.4;1420;1420;1420;1420;1420;1420.0;39;35;34;31;29;33.6;0;0;0;0;0;0.0;37;40;36;44;41;39.6;1;0;1;1;1;0.8
Computer Vision;LR_TFIDF_RandomUnder;data/train_test_data/readme_negative_samples_preprocessed_train.csv;5.934392929077148;3.9280216693878174;4.094290733337402;7.1380743980407715;4.389289379119873;5.096813821792603;1.0146019458770752;0.9233999252319336;1.71840500831604;1.4914822578430176;0.9821615219116211;1.2260101318359375;0.9112676056338028;0.9183098591549296;0.9028169014084507;0.9028169014084507;0.923943661971831;0.9118309859154928;0.9584507042253522;0.9630281690140845;0.9605633802816902;0.9619718309859155;0.9598591549295775;0.960774647887324;0.9033149171270718;0.8918205804749341;0.8928571428571429;0.8704663212435233;0.907859078590786;0.8932636080586915;0.9398648648648649;0.9457627118644067;0.9412955465587044;0.9444444444444444;0.9418132611637348;0.9426361657792311;0.9211267605633803;0.952112676056338;0.9154929577464789;0.9464788732394366;0.9436619718309859;0.9357746478873239;0.9795774647887324;0.9823943661971831;0.9823943661971831;0.9816901408450704;0.9802816901408451;0.9812676056338028;0.9121338912133892;0.9209809264305178;0.9040333796940195;0.9068825910931173;0.925414364640884;0.9138890306143855;0.9593103448275861;0.9637305699481866;0.9614059269469332;0.9627071823204421;0.9606625258799172;0.961563309984613;320;314;316;305;321;315.2;1331;1340;1333;1338;1334;1335.2;327;338;325;336;335;332.2;1391;1395;1395;1394;1392;1393.4;28;17;30;19;20;22.8;29;25;25;26;28;26.6;35;41;39;50;34;39.8;89;80;87;82;86;84.8
