;PipelineID;Pipeline;train_set;validation_set;fit_time_cv1;fit_time_cv2;fit_time_cv3;fit_time_cv4;fit_time_cv5;fit_time_mean;score_time_cv1;score_time_cv2;score_time_cv3;score_time_cv4;score_time_cv5;score_time_mean;test_acc_cv1;test_acc_cv2;test_acc_cv3;test_acc_cv4;test_acc_cv5;test_acc_mean;test_prec_cv1;test_prec_cv2;test_prec_cv3;test_prec_cv4;test_prec_cv5;test_prec_mean;test_recall_cv1;test_recall_cv2;test_recall_cv3;test_recall_cv4;test_recall_cv5;test_recall_mean;test_f1-score_cv1;test_f1-score_cv2;test_f1-score_cv3;test_f1-score_cv4;test_f1-score_cv5;test_f1-score_mean;test_tp_cv1;test_tp_cv2;test_tp_cv3;test_tp_cv4;test_tp_cv5;test_tp_mean;test_tn_cv1;test_tn_cv2;test_tn_cv3;test_tn_cv4;test_tn_cv5;test_tn_mean;test_fp_cv1;test_fp_cv2;test_fp_cv3;test_fp_cv4;test_fp_cv5;test_fp_mean;test_fn_cv1;test_fn_cv2;test_fn_cv3;test_fn_cv4;test_fn_cv5;test_fn_mean
0;Natural Language Processing;LR_Count_Vectors_RandomUnder;data/readme_negative_samples_preprocessed_train.csv;data/readme_negative_samples_preprocessed_test.csv;0.5985972881317139;0.4306514263153076;0.23735499382019043;0.5136411190032959;0.4468855857849121;0.44542608261108396;0.020403146743774414;0.024995803833007812;0.18471431732177734;0.07966732978820801;0.027873754501342773;0.06753087043762207;0.9;0.9133333333333333;0.8866666666666667;0.8791946308724832;0.7583892617449665;0.86751677852349;0.9066666666666666;0.9090909090909091;0.9285714285714286;0.9027777777777778;0.6851851851851852;0.8664583934583934;0.8947368421052632;0.9210526315789473;0.8441558441558441;0.8552631578947368;0.9736842105263158;0.8977785372522215;0.9006622516556291;0.915032679738562;0.8843537414965986;0.8783783783783783;0.8043478260869565;0.876554975471225;67;67;68;66;39;61.4;68;70;65;65;74;68.4;8;6;12;11;2;7.8;7;7;5;7;34;12.0
0;Natural Language Processing;LR_TFIDF_RandomUnder;data/readme_negative_samples_preprocessed_train.csv;data/readme_negative_samples_preprocessed_test.csv;0.34176135063171387;0.3761725425720215;0.18542885780334473;0.5109035968780518;0.6316447257995605;0.4091822147369385;0.022823572158813477;0.02591562271118164;0.18393611907958984;0.17870068550109863;0.05128788948059082;0.09253277778625488;0.7;0.8;0.8266666666666667;0.8456375838926175;0.697986577181208;0.7740581655480984;0.691358024691358;0.8194444444444444;0.9047619047619048;0.9206349206349206;0.6823529411764706;0.8037104471418196;0.7368421052631579;0.7763157894736842;0.7402597402597403;0.7631578947368421;0.7631578947368421;0.7559466848940533;0.7133757961783439;0.7972972972972973;0.8142857142857143;0.8345323741007195;0.7204968944099379;0.7759976152544026;49;61;67;68;46;58.2;56;59;57;58;58;57.6;20;17;20;18;18;18.6;25;13;6;5;27;15.2
0;Natural Language Processing;SVC_Count_Vectors_RandomUnder;data/readme_negative_samples_preprocessed_train.csv;data/readme_negative_samples_preprocessed_test.csv;3.014704704284668;2.304412841796875;2.291379928588867;2.125869035720825;2.315885543823242;2.4104504108428957;0.09034609794616699;0.10451698303222656;0.31954121589660645;0.19863200187683105;0.10347294807434082;0.16330184936523437;0.5466666666666666;0.6;0.78;0.6845637583892618;0.5704697986577181;0.6363400447427292;0.5294117647058824;0.5615384615384615;0.7682926829268293;0.6330275229357798;0.546875;0.6078290864213907;0.9473684210526315;0.9605263157894737;0.8181818181818182;0.9078947368421053;0.9210526315789473;0.9110047846889952;0.679245283018868;0.7087378640776699;0.7924528301886793;0.745945945945946;0.6862745098039216;0.7225312866070169;10;17;54;33;15;25.8;72;73;63;69;70;69.4;4;3;14;7;6;6.8;64;57;19;40;58;47.6
0;Natural Language Processing;SVC_TFIDF_RandomUnder;data/readme_negative_samples_preprocessed_train.csv;data/readme_negative_samples_preprocessed_test.csv;3.0521507263183594;2.463521718978882;1.8067195415496826;2.1501078605651855;2.9927382469177246;2.4930476188659667;0.09520077705383301;0.10713338851928711;0.2966434955596924;0.18122410774230957;0.09737443923950195;0.1555152416229248;0.78;0.7533333333333333;0.74;0.7651006711409396;0.6845637583892618;0.7445995525727069;0.9387755102040817;0.8545454545454545;0.975;1.0;0.7301587301587301;0.8996959389816533;0.6052631578947368;0.618421052631579;0.5064935064935064;0.5394736842105263;0.6052631578947368;0.5749829118250172;0.736;0.7175572519083969;0.6666666666666666;0.7008547008547009;0.6618705035971223;0.6965898246053773;71;66;72;73;56;67.6;46;47;39;41;46;43.8;30;29;38;35;30;32.4;3;8;1;0;17;5.8
0;Natural Language Processing;KNN_Count_Vectors_RandomUnder;data/readme_negative_samples_preprocessed_train.csv;data/readme_negative_samples_preprocessed_test.csv;0.39153027534484863;0.581744909286499;0.33872175216674805;0.47560811042785645;0.5273816585540771;0.4629973411560059;0.04525947570800781;0.045714616775512695;0.2850518226623535;0.11675906181335449;0.04716086387634277;0.10798916816711426;0.78;0.8466666666666667;0.8466666666666667;0.8859060402684564;0.697986577181208;0.8114451901565995;0.9574468085106383;0.9344262295081968;0.95;0.9402985074626866;0.7384615384615385;0.904126616788612;0.5921052631578947;0.75;0.7402597402597403;0.8289473684210527;0.631578947368421;0.7085782638414218;0.7317073170731707;0.832116788321168;0.8321167883211679;0.8811188811188811;0.6808510638297872;0.791582167732835;72;70;70;69;56;67.4;45;57;57;63;48;54.0;31;19;20;13;28;22.2;2;4;3;4;17;6.0
0;Natural Language Processing;KNN_TFIDF_RandomUnder;data/readme_negative_samples_preprocessed_train.csv;data/readme_negative_samples_preprocessed_test.csv;0.4596719741821289;0.4591245651245117;0.3379476070404053;0.34819793701171875;0.6045429706573486;0.44189701080322263;0.06110811233520508;0.11401534080505371;0.3187520503997803;0.12154126167297363;0.04964399337768555;0.13301215171813965;0.7866666666666666;0.9333333333333333;0.9666666666666667;0.959731543624161;0.697986577181208;0.8688769574944072;0.7156862745098039;0.9125;0.9615384615384616;0.9861111111111112;0.6324786324786325;0.8416628959276018;0.9605263157894737;0.9605263157894737;0.974025974025974;0.9342105263157895;0.9736842105263158;0.9605946684894053;0.8202247191011237;0.935897435897436;0.967741935483871;0.9594594594594595;0.7668393782383419;0.8900325856360464;45;67;70;72;30;56.8;73;73;75;71;74;73.2;3;3;2;5;2;3.0;29;7;3;1;43;16.6
0;Natural Language Processing;RandomForestClassifier_Count_Vectors_RandomUnder;data/readme_negative_samples_preprocessed_train.csv;data/readme_negative_samples_preprocessed_test.csv;0.8957903385162354;0.8963170051574707;0.4309852123260498;0.6325783729553223;0.7728590965270996;0.7257060050964356;0.039343833923339844;0.037229299545288086;0.3249192237854004;0.18135547637939453;0.06534194946289062;0.1296379566192627;0.8066666666666666;0.8933333333333333;0.9533333333333334;0.9731543624161074;0.738255033557047;0.8729485458612976;0.7582417582417582;0.8571428571428571;0.9487179487179487;0.9864864864864865;0.6697247706422018;0.8440627642462504;0.9078947368421053;0.9473684210526315;0.961038961038961;0.9605263157894737;0.9605263157894737;0.9474709501025289;0.8263473053892216;0.9;0.9548387096774195;0.9733333333333333;0.7891891891891892;0.8887417075178327;52;62;69;72;37;58.4;69;72;74;73;73;72.2;7;4;3;3;3;4.0;22;12;4;1;36;15.0
0;Natural Language Processing;RandomForestClassifier_TFIDF_RandomUnder;data/readme_negative_samples_preprocessed_train.csv;data/readme_negative_samples_preprocessed_test.csv;0.7086446285247803;0.6770687103271484;0.38811159133911133;0.7856235504150391;0.8292763233184814;0.6777449607849121;0.05127072334289551;0.06082296371459961;0.31671738624572754;0.11486291885375977;0.042368173599243164;0.11720843315124511;0.8333333333333334;0.9133333333333333;0.9533333333333334;0.959731543624161;0.7046979865771812;0.8728859060402684;0.8;0.8888888888888888;0.9605263157894737;0.9605263157894737;0.6454545454545455;0.8510792131844763;0.8947368421052632;0.9473684210526315;0.948051948051948;0.9605263157894737;0.9342105263157895;0.9369788106630212;0.84472049689441;0.9171974522292994;0.9542483660130718;0.9605263157894737;0.7634408602150539;0.8880266982282616;57;65;70;70;34;59.2;68;72;73;73;71;71.4;8;4;4;3;5;4.8;17;9;3;3;39;14.2
0;Natural Language Processing;Linear_SVC_Count_Vectors_RandomUnder;data/readme_negative_samples_preprocessed_train.csv;data/readme_negative_samples_preprocessed_test.csv;0.6648023128509521;0.5093774795532227;0.4799647331237793;0.47555971145629883;0.6709129810333252;0.5601234436035156;0.022866010665893555;0.02838754653930664;0.21447253227233887;0.09787154197692871;0.027235031127929688;0.0781665325164795;0.8666666666666667;0.8933333333333333;0.8066666666666666;0.8791946308724832;0.7516778523489933;0.8395078299776285;0.9117647058823529;0.9285714285714286;0.8333333333333334;0.9393939393939394;0.7349397590361446;0.8696006332434398;0.8157894736842105;0.8552631578947368;0.7792207792207793;0.8157894736842105;0.8026315789473685;0.8137388926862611;0.861111111111111;0.8904109589041096;0.8053691275167787;0.8732394366197183;0.7672955974842768;0.839485246327199;68;69;61;69;51;63.6;62;65;60;62;61;62.0;14;11;17;14;15;14.2;6;5;12;4;22;9.8
0;Natural Language Processing;Linear_SVC_TFIDF_RandomUnder;data/readme_negative_samples_preprocessed_train.csv;data/readme_negative_samples_preprocessed_test.csv;0.5581283569335938;0.5277621746063232;0.2893679141998291;0.6280107498168945;0.6820878982543945;0.537071418762207;0.02889418601989746;0.02979302406311035;0.29531240463256836;0.09161567687988281;0.02746748924255371;0.09461655616760253;0.9333333333333333;0.94;0.9466666666666667;0.9194630872483222;0.738255033557047;0.8955436241610737;0.9459459459459459;0.9466666666666667;0.9859154929577465;1.0;0.6796116504854369;0.9116279512111591;0.9210526315789473;0.9342105263157895;0.9090909090909091;0.8421052631578947;0.9210526315789473;0.9055023923444976;0.9333333333333332;0.9403973509933775;0.9459459459459459;0.9142857142857143;0.7821229050279329;0.9032170499172608;70;70;72;73;40;65.0;70;71;70;64;70;69.0;6;5;7;12;6;7.2;4;4;1;0;33;8.4
0;Computer Vision;LR_Count_Vectors_RandomUnder;data/readme_negative_samples_preprocessed_train.csv;data/readme_negative_samples_preprocessed_test.csv;2.4174551963806152;3.021721363067627;1.0422639846801758;2.6633031368255615;2.559238910675049;2.3407965183258055;0.0913846492767334;0.09119439125061035;1.236220359802246;0.38799619674682617;0.11166095733642578;0.38369131088256836;0.8224137931034483;0.9222797927461139;0.9671848013816926;0.9585492227979274;0.9291882556131261;0.9199231731284616;0.7850678733031674;0.9166666666666666;0.9772727272727273;0.9635854341736695;0.9153439153439153;0.9115873233520293;0.9774647887323944;0.9605633802816902;0.9690140845070423;0.9690140845070423;0.9746478873239437;0.9701408450704225;0.8707653701380176;0.938101788170564;0.9731258840169732;0.9662921348314607;0.9440654843110504;0.9384701322936131;130;193;216;211;192;188.4;347;341;344;344;346;344.4;8;14;11;11;9;10.6;95;31;8;13;32;35.8
0;Computer Vision;LR_TFIDF_RandomUnder;data/readme_negative_samples_preprocessed_train.csv;data/readme_negative_samples_preprocessed_test.csv;2.2305619716644287;1.5430762767791748;0.7148993015289307;1.1672554016113281;2.1954424381256104;1.5702470779418944;0.08299565315246582;0.10002017021179199;0.9104828834533691;0.4470083713531494;0.0867471694946289;0.32545084953308107;0.7258620689655172;0.768566493955095;0.8791018998272885;0.8514680483592401;0.7668393782383419;0.7983675778690966;0.7333333333333333;0.8027397260273973;0.973421926910299;0.8898550724637682;0.7619047619047619;0.8322509641279119;0.8676056338028169;0.8253521126760563;0.8253521126760563;0.8647887323943662;0.9014084507042254;0.8569014084507043;0.7948387096774193;0.8138888888888888;0.8932926829268293;0.8771428571428572;0.8258064516129031;0.8409939180497794;113;152;216;186;124;158.2;308;293;293;307;320;304.2;47;62;62;48;35;50.8;112;72;8;38;100;66.0
0;Computer Vision;SVC_Count_Vectors_RandomUnder;data/readme_negative_samples_preprocessed_train.csv;data/readme_negative_samples_preprocessed_test.csv;36.49292731285095;30.135079860687256;20.849660634994507;26.136049509048462;36.84198594093323;30.09114065170288;1.0506722927093506;1.090592622756958;2.8319218158721924;1.8197650909423828;1.0663206577301025;1.5718544960021972;0.6775862068965517;0.7115716753022453;0.9550949913644214;0.8860103626943006;0.7357512953367875;0.7932029063188614;0.6567164179104478;0.6865079365079365;0.9852507374631269;0.8676844783715013;0.7112970711297071;0.7814913282765439;0.9915492957746479;0.9746478873239437;0.9408450704225352;0.9605633802816902;0.9577464788732394;0.9650704225352114;0.7901234567901234;0.8055878928987195;0.9625360230547549;0.911764705882353;0.8163265306122448;0.8572677218476391;41;66;219;172;86;116.8;352;346;334;341;340;342.6;3;9;21;14;15;12.4;184;158;5;52;138;107.4
0;Computer Vision;SVC_TFIDF_RandomUnder;data/readme_negative_samples_preprocessed_train.csv;data/readme_negative_samples_preprocessed_test.csv;39.92573666572571;45.304868936538696;26.986634016036987;39.99701929092407;39.517550230026245;38.346361827850345;1.24560546875;1.0957245826721191;2.9920287132263184;1.8752024173736572;1.311821699142456;1.7040765762329102;0.7586206896551724;0.8238341968911918;0.9015544041450777;0.8946459412780656;0.853195164075993;0.8463700792091002;0.7517564402810304;0.8821752265861027;0.9966666666666667;0.9803921568627451;0.9115853658536586;0.9045151712500406;0.9042253521126761;0.8225352112676056;0.8422535211267606;0.8450704225352113;0.8422535211267606;0.8512676056338029;0.8209718670076727;0.8513119533527697;0.9129770992366412;0.9077155824508321;0.8755490483162518;0.8737051100728335;119;185;223;218;195;188.0;321;292;299;300;299;302.2;34;63;56;55;56;52.8;106;39;1;6;29;36.2
0;Computer Vision;KNN_Count_Vectors_RandomUnder;data/readme_negative_samples_preprocessed_train.csv;data/readme_negative_samples_preprocessed_test.csv;1.6883397102355957;1.981482744216919;1.3698489665985107;1.5034151077270508;2.3998539447784424;1.7885880947113038;0.20682263374328613;0.22733068466186523;1.2761216163635254;0.589374303817749;0.1922776699066162;0.4983853816986084;0.7;0.7132987910189983;0.9775474956822107;0.8963730569948186;0.7443868739205527;0.806321243523316;0.6723809523809524;0.6827852998065764;0.9697802197802198;0.8606356968215159;0.7082494969818913;0.7787663331542312;0.9943661971830986;0.9943661971830986;0.9943661971830986;0.9915492957746479;0.9915492957746479;0.9932394366197184;0.8022727272727274;0.8096330275229358;0.9819193324061195;0.9214659685863874;0.8262910798122066;0.8683164271200754;53;60;213;167;79;114.4;353;353;353;352;352;352.6;2;2;2;3;3;2.4;172;164;11;57;145;109.8
0;Computer Vision;KNN_TFIDF_RandomUnder;data/readme_negative_samples_preprocessed_train.csv;data/readme_negative_samples_preprocessed_test.csv;2.245206117630005;2.3339970111846924;1.3693139553070068;2.2692062854766846;2.8351593017578125;2.2105765342712402;0.19826650619506836;0.22787165641784668;1.1905593872070312;0.610499382019043;0.1407489776611328;0.4735891819000244;0.743103448275862;0.8946459412780656;0.9827288428324698;0.9689119170984456;0.9119170984455959;0.9002614495860877;0.706;0.8769230769230769;0.9886685552407932;0.9773371104815864;0.8838383838383839;0.8865534252967681;0.9943661971830986;0.9633802816901409;0.9830985915492958;0.971830985915493;0.9859154929577465;0.979718309859155;0.8257309941520468;0.9181208053691275;0.9858757062146892;0.9745762711864407;0.9320905459387484;0.9272788645722105;78;176;220;216;178;173.6;353;342;349;345;350;347.8;2;13;6;10;5;7.2;147;48;4;8;46;50.6
0;Computer Vision;RandomForestClassifier_Count_Vectors_RandomUnder;data/readme_negative_samples_preprocessed_train.csv;data/readme_negative_samples_preprocessed_test.csv;3.0292022228240967;3.0704545974731445;2.4023642539978027;2.1721463203430176;3.489650249481201;2.8327635288238526;0.22211933135986328;0.2242882251739502;1.535250186920166;1.0127933025360107;0.16222405433654785;0.6313350200653076;0.7396551724137931;0.9101899827288429;0.9827288428324698;0.9758203799654577;0.9360967184801382;0.9088982192841405;0.703187250996016;0.8816120906801007;0.994269340974212;0.9802816901408451;0.9162303664921466;0.8951161478566642;0.9943661971830986;0.9859154929577465;0.9774647887323944;0.9802816901408451;0.9859154929577465;0.9847887323943663;0.8238039673278881;0.9308510638297871;0.9857954545454546;0.9802816901408451;0.9497964721845319;0.9341057296057013;76;177;222;217;192;176.8;353;350;347;348;350;349.6;2;5;8;7;5;5.4;149;47;2;7;32;47.4
0;Computer Vision;RandomForestClassifier_TFIDF_RandomUnder;data/readme_negative_samples_preprocessed_train.csv;data/readme_negative_samples_preprocessed_test.csv;3.565585136413574;2.8988630771636963;1.3472349643707275;3.4491541385650635;2.932236671447754;2.838614797592163;0.12216448783874512;0.24994730949401855;2.0597903728485107;0.4715890884399414;0.29761219024658203;0.6402206897735596;0.7344827586206897;0.9015544041450777;0.9827288428324698;0.9689119170984456;0.9136442141623489;0.9002644273718063;0.699009900990099;0.8669950738916257;0.9914529914529915;0.9693593314763231;0.8841309823677582;0.8821896560357596;0.9943661971830986;0.9915492957746479;0.9802816901408451;0.9802816901408451;0.9887323943661972;0.9870422535211268;0.8209302325581395;0.9250985545335086;0.9858356940509915;0.9747899159663865;0.9335106382978724;0.9280330070813797;73;170;221;213;178;171.0;353;352;348;348;351;350.4;2;3;7;7;4;4.6;152;54;3;11;46;53.2
0;Computer Vision;Linear_SVC_Count_Vectors_RandomUnder;data/readme_negative_samples_preprocessed_train.csv;data/readme_negative_samples_preprocessed_test.csv;2.291900396347046;2.1732983589172363;1.201836109161377;2.9044573307037354;3.146277666091919;2.343553972244263;0.09319519996643066;0.10985326766967773;1.1455559730529785;0.4821147918701172;0.11503767967224121;0.38915138244628905;0.7896551724137931;0.8687392055267703;0.9568221070811744;0.9291882556131261;0.8307426597582038;0.8750294800786135;0.7484008528784648;0.837772397094431;0.9714285714285714;0.9131578947368421;0.7927107061503417;0.8526940844577302;0.9887323943661972;0.9746478873239437;0.9577464788732394;0.9774647887323944;0.9802816901408451;0.975774647887324;0.8519417475728155;0.9010416666666667;0.9645390070921985;0.9442176870748299;0.8765743073047859;0.9076628831422594;107;157;214;191;133;160.4;351;346;340;347;348;346.4;4;9;15;8;7;8.6;118;67;10;33;91;63.8
0;Computer Vision;Linear_SVC_TFIDF_RandomUnder;data/readme_negative_samples_preprocessed_train.csv;data/readme_negative_samples_preprocessed_test.csv;2.4798123836517334;2.0707767009735107;1.0347394943237305;2.59148907661438;2.6590566635131836;2.1671748638153074;0.12591767311096191;0.21783733367919922;1.2294621467590332;0.5283915996551514;0.15532994270324707;0.45138773918151853;0.8189655172413793;0.9533678756476683;0.9758203799654577;0.9723661485319517;0.9464594127806563;0.9333958668334226;0.7815315315315315;0.9530386740331491;0.9970845481049563;0.9884726224783862;0.945054945054945;0.9330364642405936;0.9774647887323944;0.971830985915493;0.9633802816901409;0.9661971830985916;0.9690140845070423;0.9695774647887324;0.8685857321652066;0.9623430962343097;0.9799426934097422;0.9772079772079773;0.956884561891516;0.9489928121817502;128;207;223;220;204;196.4;347;345;342;343;344;344.2;8;10;13;12;11;10.8;97;17;1;4;20;27.8
0;Sequential;LR_Count_Vectors_RandomUnder;data/readme_negative_samples_preprocessed_train.csv;data/readme_negative_samples_preprocessed_test.csv;0.22395730018615723;0.1699965000152588;0.2126021385192871;0.09750866889953613;0.17080211639404297;0.17497334480285645;0.011347055435180664;0.018973588943481445;0.011661291122436523;0.07327413558959961;0.022953033447265625;0.027641820907592773;0.5;0.6153846153846154;0.8076923076923077;0.5;0.56;0.5966153846153847;0.48;0.6;0.75;0.5;0.5294117647058824;0.5718823529411765;1.0;0.6923076923076923;0.9230769230769231;0.6923076923076923;0.75;0.8115384615384615;0.6486486486486487;0.6428571428571429;0.8275862068965517;0.5806451612903226;0.6206896551724139;0.6640853629730159;12;9;12;9;9;10.2;1;7;9;4;5;5.2;13;6;4;9;8;8.0;0;4;1;4;3;2.4
0;Sequential;LR_TFIDF_RandomUnder;data/readme_negative_samples_preprocessed_train.csv;data/readme_negative_samples_preprocessed_test.csv;0.11083102226257324;0.11491203308105469;0.1453080177307129;0.059021711349487305;0.12590575218200684;0.11119570732116699;0.012099027633666992;0.012005090713500977;0.012112855911254883;0.06932401657104492;0.02930283546447754;0.026968765258789062;0.5;0.46153846153846156;0.5384615384615384;0.5769230769230769;0.6;0.5353846153846153;0.47619047619047616;0.47058823529411764;0.5333333333333333;1.0;0.6;0.6160224089635855;0.8333333333333334;0.6153846153846154;0.6153846153846154;0.15384615384615385;0.5;0.5435897435897437;0.6060606060606061;0.5333333333333333;0.5714285714285715;0.2666666666666667;0.5454545454545454;0.5045887445887446;10;8;8;2;6;6.8;3;4;6;13;9;7.0;11;9;7;0;4;6.2;2;5;5;11;6;5.8
0;Sequential;SVC_Count_Vectors_RandomUnder;data/readme_negative_samples_preprocessed_train.csv;data/readme_negative_samples_preprocessed_test.csv;0.17584848403930664;0.22057199478149414;0.22697234153747559;0.17800664901733398;0.20177221298217773;0.20063433647155762;0.010528802871704102;0.010965347290039062;0.010120153427124023;0.0750579833984375;0.03691887855529785;0.028718233108520508;0.5;0.4230769230769231;0.5384615384615384;0.5;0.6;0.5123076923076924;0.4782608695652174;0.4583333333333333;0.5217391304347826;0.0;0.55;0.4016666666666667;0.9166666666666666;0.8461538461538461;0.9230769230769231;0.0;0.9166666666666666;0.7205128205128205;0.6285714285714286;0.5945945945945945;0.6666666666666667;0.0;0.6874999999999999;0.515466537966538;11;11;12;0;11;9.0;2;0;2;13;4;4.2;12;13;11;0;9;9.0;1;2;1;13;1;3.6
0;Sequential;SVC_TFIDF_RandomUnder;data/readme_negative_samples_preprocessed_train.csv;data/readme_negative_samples_preprocessed_test.csv;0.20147299766540527;0.22965002059936523;0.23650097846984863;0.12313008308410645;0.17957496643066406;0.19406580924987793;0.011759757995605469;0.0171661376953125;0.012216567993164062;0.07395339012145996;0.02748250961303711;0.02851567268371582;0.6153846153846154;0.5769230769230769;0.5384615384615384;0.5384615384615384;0.64;0.5818461538461539;1.0;1.0;1.0;1.0;1.0;1.0;0.16666666666666666;0.15384615384615385;0.07692307692307693;0.07692307692307693;0.25;0.14487179487179486;0.2857142857142857;0.2666666666666667;0.14285714285714288;0.14285714285714288;0.4;0.24761904761904763;2;2;1;1;3;1.8;14;13;13;13;13;13.2;0;0;0;0;0;0.0;10;11;12;12;9;10.8
0;Sequential;KNN_Count_Vectors_RandomUnder;data/readme_negative_samples_preprocessed_train.csv;data/readme_negative_samples_preprocessed_test.csv;0.12422657012939453;0.1077570915222168;0.10071635246276855;0.06647849082946777;0.10955023765563965;0.10174574851989746;0.03431081771850586;0.04851126670837402;0.033008575439453125;0.08037209510803223;0.04771780967712402;0.04878411293029785;0.46153846153846156;0.5;0.5;0.23076923076923078;0.4;0.4184615384615385;0.46153846153846156;0.5;0.5;0.23076923076923078;0.36363636363636365;0.41118881118881123;1.0;1.0;1.0;0.23076923076923078;0.3333333333333333;0.7128205128205128;0.631578947368421;0.6666666666666666;0.6666666666666666;0.23076923076923078;0.34782608695652173;0.5087015196855014;12;13;13;3;4;9.0;0;0;0;3;6;1.8;14;13;13;10;7;11.4;0;0;0;10;8;3.6
0;Sequential;KNN_TFIDF_RandomUnder;data/readme_negative_samples_preprocessed_train.csv;data/readme_negative_samples_preprocessed_test.csv;0.10974454879760742;0.1332552433013916;0.1249241828918457;0.0703437328338623;0.10794615745544434;0.10924277305603028;0.06418395042419434;0.043493032455444336;0.032137393951416016;0.10123467445373535;0.055863380432128906;0.05938248634338379;0.46153846153846156;0.5384615384615384;0.5384615384615384;0.5;0.52;0.5116923076923077;0.46153846153846156;0.5263157894736842;0.52;0.5;0.5;0.5015708502024292;1.0;0.7692307692307693;1.0;1.0;0.8333333333333334;0.9205128205128205;0.631578947368421;0.625;0.6842105263157895;0.6666666666666666;0.625;0.6464912280701754;12;10;13;13;10;11.6;0;4;1;0;3;1.6;14;9;12;13;10;11.6;0;3;0;0;2;1.0
0;Sequential;RandomForestClassifier_Count_Vectors_RandomUnder;data/readme_negative_samples_preprocessed_train.csv;data/readme_negative_samples_preprocessed_test.csv;0.2933838367462158;0.2987802028656006;0.31043577194213867;0.22439789772033691;0.29226183891296387;0.28385190963745116;0.028775453567504883;0.03182506561279297;0.02179718017578125;0.08031558990478516;0.029727697372436523;0.03848819732666016;0.46153846153846156;0.5769230769230769;0.6153846153846154;0.6923076923076923;0.56;0.5812307692307692;0.4583333333333333;0.5454545454545454;0.5714285714285714;0.7777777777777778;0.5263157894736842;0.5758620034935824;0.9166666666666666;0.9230769230769231;0.9230769230769231;0.5384615384615384;0.8333333333333334;0.8269230769230769;0.611111111111111;0.6857142857142856;0.7058823529411765;0.6363636363636364;0.6451612903225806;0.656846535290558;11;12;12;7;10;10.4;1;3;4;11;4;4.6;13;10;9;2;9;8.6;1;1;1;6;2;2.2
